registros,Crit_Julg,Cmp_Gru,I_Cmp,I_Und
1,Menor Valor,Grupo 4,ARROZ,QUILOGRAMAS
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE COM 1KG.
1,Menor Valor,Não tem Grupo,ARROZ,ARROZ BENEFICIADO
1,Menor Valor,Não tem Grupo,ARROZ,EMB.C/5KG
1,Menor Valor,Não tem Grupo,ARROZ,"EMBALAGEM 0,250000 G"
1,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM COM 1 KG
1,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM DE 1 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB. COM 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 6X5GR
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 5,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 500G
1,Menor Valor,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,98/M2
1,Menor Valor,Grupo 2,ARROZ,UNIDADA
1,Menor Valor,Grupo 16,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
1,Menor Valor,Grupo 16,FARINHA ARROZ,UNIDADE
1,Menor Valor,Grupo 2,ARROZ,EMBALAGEM
1,Menor Valor,Grupo 3,ARROZ,"SACO 5,00 KG"
1,Menor Valor,Grupo 3,ARROZ IN - NATURA,KILO
1,Menor Valor,Grupo 3,ARROZ,EMB 500G
1,Menor Valor,Grupo 4,ARROZ,180G
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,"PACOTE 5,00 KG"
1,Menor Valor,Grupo 9,CREME ARROZ,"EMBALAGEM 1,00 KG"
1,Menor Valor,Não se Aplica,ARROZ,FARDO 30 KG.
1,Menor Valor,Não se Aplica,ARROZ,UN
1,Menor Valor,Grupo 8,CREME ARROZ,"EMBALAGEM 400,00 G"
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO C/30KG
1,Menor Valor,Grupo 5,ARROZ IN - NATURA,UNIDADE
1,Menor Valor,Grupo 5,ARROZ,PACOTE
1,Menor Valor,Grupo 4,ARROZ BENEFICIADO,EMBALAGEM 5 KG
1,Menor Valor,Grupo 6,ARROZ,"FARDO 30,00 KG"
1,Menor Valor,Grupo 6,FARINHA ARROZ,UNIDADE
1,Menor Valor,Grupo 7,ARROZ BENEFICIADO,EMBALAGEM 5 KG
1,Menor Valor,Grupo 8,ARROZ,EMB DE 500G
1,Menor Valor,Grupo 15,ARROZ BENEFICIADO,EMB
1,Menor Valor,Grupo 15,ARROZ BENEFICIADO,"EMBALAGEM 5,00 KG"
1,Menor Valor,Grupo 15,FARINHA ARROZ,UNIDADE
1,Menor Valor,Grupo 2,ARROZ IN - NATURA,EMB. DE 5KG
1,Menor Valor,Grupo 2,ARROZ IN - NATURA,EMBALAGEM 5KG
1,Menor Valor,Grupo 16,ARROZ,EMBALAGEM 500G
1,Menor Valor,Grupo 1,ARROZ,QUILOGRANA
1,Menor Valor,Grupo 1,ARROZ,SACO 5 KG
1,Menor Valor,Grupo 1,ARROZ IN - NATURA,PCT
1,Menor Valor,Grupo 1,ARROZ IN - NATURA,SACO 40 KG
1,Menor Valor,NULL,ARROZ IN - NATURA,PACOTE COM 5 KG
1,Menor Valor,NULL,ARROZ,EMBALAGEM 5 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 25 KG
1,Menor Valor,Não tem Grupo,ARROZ,"CAIXA 00000010,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,EMB DE 01KG
1,Menor Valor,Não tem Grupo,ARROZ,EMB. 500G
1,Menor Valor,Não tem Grupo,ARROZ,EMB. DE 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE C/ 1 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE DE 05 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTES
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCTO 005 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCTO5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACAS DE 40 KGS.
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACO C/ 1 QUILOGRAMA
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACO C/ 5 QUILOGRAMA
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE C/ 1000G
1,Menor Valor,Não tem Grupo,ARROZ,PACOTES C/ 05 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO DE 30 QUILOGRA
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KILOS
1,Menor Valor,Não tem Grupo,ARROZ,PCT 1KG
1,Menor Valor,Não tem Grupo,ARROZ,"SACO 500,00 G"
1,Menor Valor,Não tem Grupo,ARROZ,SACO COM 5 QUILO
1,Não Informado,Não se Aplica,ARROZ,EMBALAGEM C/ 5KG
1,Não Informado,Não se Aplica,ARROZ,FARDO 6X5KG
1,Não Informado,Não se Aplica,ARROZ,FARDO C/ 60 PACTE DE
1,Não Informado,Não se Aplica,ARROZ,FARDO C/10 KG.
1,Não Informado,Não se Aplica,ARROZ,FARDO C/6
1,Não Informado,Não se Aplica,ARROZ,FARDOS C/30 KG
1,Não Informado,Não se Aplica,ARROZ,FARDOS C/30 KILOGRAM
1,Não Informado,Não se Aplica,ARROZ,FDOS
1,Não Informado,Não se Aplica,ARROZ,GRAMAS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PC 5KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PD.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO 40 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO COM 1 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO SEMENTE
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO COM 6 PAGOTES
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDOS 6X5KG
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SC.20KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FDR
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE C/05
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE C/05QUILOS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PAOTE DE 5KG
1,Não Informado,Não se Aplica,ARROZ,CXS
1,Não Informado,Não se Aplica,ARROZ,EMBALAGEM 30 KGS
1,Não Informado,Não se Aplica,ARROZ,NT
1,Não Informado,Não se Aplica,ARROZ,PACOTE 05 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE 05 KILOS
1,Não Informado,Não se Aplica,ARROZ,PCT 5 KGS
1,Não Informado,Não se Aplica,ARROZ,PCT DE 5 KG CADA
1,Não Informado,Não se Aplica,ARROZ,PASS
1,Não Informado,Não se Aplica,ARROZ,PC.
1,Não Informado,Não se Aplica,ARROZ,SACO 5 QUILOGRAMA
1,Não Informado,Não tem Grupo,ARROZ IN - NATURA,QUILOGRAMAS
1,Não Informado,Não tem Grupo,ARROZ IN - NATURA,UN
1,Não Informado,Não se Aplica,ARROZ,SACO C/05 KG
1,Não Informado,Não se Aplica,ARROZ,SACO COM 05 KG
1,Não Informado,Não se Aplica,ARROZ,UNBID
1,Não Informado,Não se Aplica,BENEFICIAMENTO DE ARROZ / MATERIA PRIMA,UN
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UNIDADE
1,Não Informado,Não se Aplica,CASCA ARROZ,METROS CUBICO
1,Não Informado,Não tem Grupo,ARROZ,"POTE 1,00 KG"
1,Não Informado,Não se Aplica,ARROZ,PACOTE 2 KG
1,Não Informado,Não se Aplica,ARROZ,"PACOTE 250,00 G"
1,Não Informado,Não se Aplica,ARROZ,PACOTE 5 KILOS
1,Não Informado,Não se Aplica,ARROZ,"PACOTE 5,00 G"
1,Não Informado,Não se Aplica,CASCA ARROZ,SACOS/10
1,Não Informado,Não se Aplica,FARINHA ARROZ,"SACO 500,00 G"
1,Menor Valor,Não tem Grupo,ARROZ,PACOTES
1,Menor Valor,Não tem Grupo,ARROZ,PACOTES 5 QUILOGRAMA
1,Menor Valor,Não tem Grupo,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),QUILOGRAMA
1,Menor Valor,Não tem Grupo,CASCA ARROZ,KGS
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACA
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACO DE 30 KG
1,Menor Valor,Não tem Grupo,CASCA ARROZ,TONELADAS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,AQUISICAO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FA
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO (30KG)
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO DE 30 KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FD/30KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,QUILOS
1,Menor Valor,Não tem Grupo,ARROZ,FARDO 10 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO C/ 30 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO COM 6X5 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDOS DE 30X1
1,Menor Valor,Não tem Grupo,ARROZ,PCTE 5 KGS
1,Menor Valor,Não tem Grupo,ARROZ,"SACO 60,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,SACO DE 1 KG
1,Menor Valor,Não tem Grupo,ARROZ,"SACO DE 1,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,"PACOTE COM 5,00KG"
1,Não Informado,Não se Aplica,ARROZ,FAD 6X5KG
1,Não Informado,Não se Aplica,ARROZ,___PACOTE
1,Não Informado,Não se Aplica,ARROZ,KLG.
1,Não Informado,Não se Aplica,ARROZ,"LATA 400,00 G"
1,Não Informado,Não se Aplica,ARROZ,PACOTE  05 QUILOS
1,Não Informado,Não se Aplica,ARROZ,PACOTE -5 KG
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),LATA
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),UND
1,Não Informado,Não se Aplica,CASCA ARROZ,CARGA
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30 KG
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30KG.
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30X1
1,Não Informado,Não se Aplica,ARROZ,FARDOS C/30X01 KILOG
1,Não Informado,Não se Aplica,ARROZ,FDS. C/30 KGMS.
1,Não Informado,Não se Aplica,ARROZ,FDS. C/30X01
1,Não Informado,Não se Aplica,ARROZ,FRD.C/30X01
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT 500G
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT. 05 TIPO 2
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,QUILIGRAMA
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,KERO KERO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE   KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE DE 1KG
1,Menor Valor,Grupo 12,ARROZ BENEFICIADO,EMBALAGEM 5 KG
1,Menor Valor,Grupo 13,ARROZ,EMB. 500 GRAMAS
1,Maior Desconto,Não tem Grupo,ARROZ,"FARDO 30,00 KG"
1,Menor Valor,NULL,ARROZ,EMBALAGEM
1,Menor Valor,Grupo 1,ARROZ,PCT COM 5KG
1,Menor Valor,Grupo 1,ARROZ,PCTE COM 5G
1,Menor Valor,Grupo 2,ARROZ,SACO DE 5 KG
1,Menor Valor,Grupo 2,FARINHA ARROZ,UN
1,Menor Valor,Grupo 15,ARROZ,"PACOTE 1,00 KG"
1,Menor Valor,Grupo 16,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 17,ARROZ IN - NATURA,EMBALAGEM 5 KG
1,Menor Valor,Grupo 2,ARROZ,FARDO
1,Menor Valor,Grupo 2,ARROZ,PACOTE 5KG
1,Menor Valor,Grupo 2,ARROZ,PACOTE_5KGR.
1,Menor Valor,Grupo 2,ARROZ,PCT 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB COM 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM 250 G
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,L
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"PACOTE 00005,00KG"
1,Menor Valor,Grupo 8,FARINHA ARROZ,QUILOGRAMA
1,Menor Valor,Grupo 9,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
1,Menor Valor,Não se Aplica,ARROZ IN - NATURA,PCT 1 KG
1,Menor Valor,Grupo 8,ARROZ,"SACO 5,00 KG"
1,Menor Valor,Grupo 3,ARROZ,PACOTE DE 1 QUILO
1,Menor Valor,Grupo 3,ARROZ IN - NATURA,UNIDADE
1,Menor Valor,Grupo 5,ARROZ BENEFICIADO,EMB
1,Menor Valor,Grupo 6,ARROZ,800G
1,Menor Valor,Grupo 7,ARROZ,"FARDO 30,00 KG"
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMBALAGEM DE 05 KG
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMBALAGEM DE 5 KG
1,Menor Valor,Grupo 4,ARROZ,360G
1,Menor Valor,Grupo 4,ARROZ,500G
1,Menor Valor,Grupo 4,ARROZ BENEFICIADO,EMB
1,Não Informado,Não se Aplica,CASCA ARROZ,KILOGRAMA
1,Não Informado,Não se Aplica,FARINHA ARROZ,"*PACOTE 500,00 G"
1,Não Informado,Não se Aplica,CASCA ARROZ,CAIXA
1,Não Informado,Não se Aplica,ARROZ,PCT COM 5 KG
1,Não Informado,Não se Aplica,ARROZ,"PEÇA 1,00 KG"
1,Não Informado,Não se Aplica,ARROZ,QUIILOGRAMA
1,Não Informado,Não se Aplica,ARROZ,QUILOGRAMAS
1,Não Informado,Não se Aplica,ARROZ,FDS
1,Não Informado,Não se Aplica,ARROZ,FRASCO
1,Não Informado,Não se Aplica,ARROZ,FARDO C/30 KGS.
1,Não Informado,Não se Aplica,ARROZ,FADO C/10 X 1 KG.
1,Não Informado,Não se Aplica,ARROZ,FARDO 10 KG.
1,Não Informado,Não se Aplica,ARROZ,"LATA 132,00 G"
1,Não Informado,Não se Aplica,ARROZ,PAC
1,Não Informado,Não se Aplica,ARROZ,PACOTE 1KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE 250G
1,Não Informado,Não se Aplica,ARROZ,PACOTE 5KG.
1,Não Informado,Não se Aplica,ARROZ,PACOTE C/ 05 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE COM 05 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE DE 05 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE DE 1 KG.
1,Não Informado,Não se Aplica,ARROZ,PACOTE DE 500 GR
1,Não Informado,Não se Aplica,ARROZ,PACOTE(05KG)
1,Não Informado,Não se Aplica,ARROZ,PACTOTE
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO - 30KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FARDO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,_FARDO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCT.05 KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCTO
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE 5 QUILOS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE COM 05/KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO 6PCX5KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO C/ 06 PACOTES
1,Menor Valor,Não tem Grupo,ARROZ,"PACOTE DE 1,0 KG"
1,Menor Valor,Não tem Grupo,ARROZ,LT
1,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 000005,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ,SACO 5 QUILOGRAMA
1,Menor Valor,Não tem Grupo,ARROZ,SÃO GABRIEL DA CACHO
1,Menor Valor,Não tem Grupo,CASCA ARROZ,PACOTE 1 KG
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMB. DE 5KG
1,Menor Valor,Grupo 3,ARROZ BENEFICIADO,EMBALAGEM 5 KG
1,Menor Valor,Grupo 2,ARROZ IN - NATURA,KILOGRAMA
1,Menor Valor,Grupo 2,ARROZ IN - NATURA,PACOTE
1,Menor Valor,Grupo 17,ARROZ IN - NATURA,QUILOGRAMA
1,Menor Valor,Grupo 17,ARROZ,FARDO 30X1KG
1,Menor Valor,Grupo 19,FARINHA ARROZ,"EMBALAGEM 500,00 G"
1,Menor Valor,Grupo 2,ARROZ BENEFICIADO,GRAMA
1,Menor Valor,Grupo 2,CASCA ARROZ,KG
1,Menor Valor,Grupo 2,CASCA ARROZ,SACO
1,Menor Valor,Grupo 3,ARROZ IN - NATURA,PACOTE C/5 KG
1,Menor Valor,Grupo 3,ARROZ IN - NATURA,SACO 40 KG
1,Menor Valor,Grupo 3,ARROZ,EMB. 500 GRAMAS
1,Maior Desconto,Grupo 1,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 15,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 11,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 13,ARROZ IN - NATURA,QUILOGRAMA
1,Menor Valor,Grupo 1,ARROZ,"SACO 50,00 KG"
1,Menor Valor,Grupo 1,ARROZ,CAIXA
1,Menor Valor,Grupo 1,ARROZ,"FARDO 00000030,00 KG"
1,Menor Valor,Grupo 1,ARROZ,FARDO 30X1
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMB COM 5 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM COM 5 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,EMBALAGEM DE 1 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 6X 5 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO COM 30KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KGS
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE 01 QUILOS
1,Menor Valor,Grupo 9,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
1,Menor Valor,Não se Aplica,ARROZ,SACO C/ 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCT C/ 5 KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PCTE 5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,SACA DE 40 KG
1,Menor Valor,Não tem Grupo,ARROZ,1
1,Menor Valor,Não tem Grupo,ARROZ,EMB C/5KG
1,Menor Valor,Não tem Grupo,ARROZ,"EMBALAGEM 250,0000 G"
1,Menor Valor,Grupo 8,ARROZ BENEFICIADO,"EMBALAGEM 2,00 KG"
1,Menor Valor,Grupo 8,ARROZ IN - NATURA,PACOTE
1,Menor Valor,Grupo 4,ARROZ,PCT
1,Menor Valor,Grupo 5,ARROZ,PCT
1,Menor Valor,Grupo 6,ARROZ,PACOTE 5 KG
1,Menor Valor,Grupo 7,ARROZ IN - NATURA,EMBALAGEM DE 05 KG
1,Menor Valor,Grupo 7,ARROZ,PCT
1,Não Informado,Não se Aplica,ARROZ,RFRD
1,Não Informado,Não se Aplica,ARROZ,PC DE 5KG
1,Não Informado,Não se Aplica,ARROZ,PCT 5 KG
1,Não Informado,Não se Aplica,ARROZ,PCT C/ 5 KG
1,Não Informado,Não se Aplica,ARROZ,PCT/5KGS
1,Não Informado,Não se Aplica,ARROZ,PACOTE DE 01KG
1,Não Informado,Não se Aplica,ARROZ,PACOTE/5 KG
1,Não Informado,Não se Aplica,ARROZ,PACOTES DE 5K.
1,Não Informado,Não se Aplica,ARROZ,PACOTES DE 5KG
1,Não Informado,Não se Aplica,ARROZ,"LATA 500,00 ML"
1,Não Informado,Não se Aplica,ARROZ,PACOTE / 5 KG
1,Não Informado,Não se Aplica,ARROZ,GR.
1,Não Informado,Não se Aplica,ARROZ,SV
1,Não Informado,Não se Aplica,ARROZ,SC C/40 KG
1,Não Informado,Não se Aplica,ARROZ,UNDS
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),FD
1,Não Informado,Não se Aplica,BRILHADOR DE ARROZ ( POLIDOR DE ARROZ ),KG
1,Não Informado,Não se Aplica,CASCA ARROZ,KG.
1,Não Informado,Não se Aplica,CASCA ARROZ,SACA DE 20KG
1,Não Informado,Não se Aplica,CASCA ARROZ,SACA DE 40 KG.
1,Não Informado,Não se Aplica,CASCA ARROZ,"SACO 25,00 KG"
1,Não Informado,Não se Aplica,CASCA ARROZ,SACO 9KG
1,Não Informado,Não se Aplica,FARINHA ARROZ,EMB
1,Não Informado,Não se Aplica,FARINHA ARROZ,"EMBALAGEM 1,00 KG"
1,Não Informado,Não tem Grupo,ARROZ,"1,00 KG"
1,Não Informado,Não tem Grupo,FARINHA ARROZ,UNIDADE
1,Não Informado,Não se Aplica,ARROZ,FARDO 30X1KG.
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,FRDS.
1,Não Informado,Não se Aplica,ARROZ,FARDO DE 30KG
1,Não Informado,Não se Aplica,ARROZ,FARDO(30 KG)
1,Não Informado,Não se Aplica,ARROZ,FD C/ 30 KG
1,Não Informado,Não se Aplica,ARROZ,FD. C/10 K
1,Não Informado,Não se Aplica,ARROZ,FDO 6X5
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCTE DE 5 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PCTES
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PTE
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO 40KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,SACO C/5KG
1,Não Informado,Não se Aplica,ARROZ,"*PACOTE 400,00 G"
1,Não Informado,Não se Aplica,ARROZ,490
1,Não Informado,Não se Aplica,ARROZ,5 KGS
1,Não Informado,Não se Aplica,ARROZ,ALVORADA
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE  5K
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE C/ 01 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE C/ 5 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PACOTE DE 2 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,PC22
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,5 KG
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,DIVERSSOS
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,UN
1,Não Informado,Não se Aplica,ARROZ IN - NATURA,1500
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACO - 100 L
1,Menor Valor,Não tem Grupo,CASCA ARROZ,SACO C/40KG
1,Menor Valor,Não tem Grupo,ARROZ,PCT COM 1 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO 30 KGS
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE C/ 5 KG
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE C/ 5 QUILOS
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE COM 05 QUILOS
1,Menor Valor,Não tem Grupo,ARROZ,FARDOS DE 30 KG.
1,Menor Valor,Não tem Grupo,ARROZ,FARODOS DE 30 KG
1,Menor Valor,Não tem Grupo,ARROZ,"PACOTE 00000001,00KG"
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE 01 KG
1,Menor Valor,Não tem Grupo,ARROZ,PACOTE 05 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO C/ 30KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO C/30 KG
1,Menor Valor,Não tem Grupo,ARROZ,FARDO_227
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,KG 12
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,"EMBALAGEM 1,00 KG"
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDO 6X5KG
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,FARDOS COM 30 PACTS
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE COM 250 GR.
1,Menor Valor,Não tem Grupo,ARROZ IN - NATURA,PACOTE DE 1KG
1,Menor Valor,Não tem Grupo,ARROZ,EMB DE 5 KG
1,Menor Valor,Não tem Grupo,ARROZ,EMBALAGEM 250G
1,Menor Valor,Grupo 7,FARINHA ARROZ,"EMBALAGEM 500,00 G"
1,Menor Valor,Grupo 7,FARINHA ARROZ,"LATA 400,00 G"
1,Menor Valor,Grupo 6,ARROZ,500G
1,Menor Valor,Grupo 4,ARROZ,"SACO 5,00 KG"
1,Menor Valor,Grupo 4,FARINHA ARROZ,"LATA 400,00 G"
1,Menor Valor,Grupo 5,ARROZ IN - NATURA,PACOTE
1,Menor Valor,Grupo 5,ARROZ,"SACO 1,00 KG"
1,Menor Valor,Não se Aplica,ARROZ IN - NATURA,FARDO 30KG C/ EMB. D
1,Menor Valor,Grupo 9,ARROZ BENEFICIADO,EMB
1,Menor Valor,Não se Aplica,ARROZ,FARDO COM 30 KG
1,Menor Valor,Não se Aplica,CASCA ARROZ,TONELADA
1,Menor Valor,Grupo 3,ARROZ,EMB. DE 5 KG
1,Menor Valor,Grupo 3,ARROZ,EMB.C/5 KG
1,Menor Valor,Grupo 3,FARINHA ARROZ,UNIDADE
1,Menor Valor,Grupo 4,ARROZ IN - NATURA,EMBALAGEM
1,Menor Valor,Grupo 17,ARROZ BENEFICIADO,"EMBALAGEM 1,00 KG"
1,Menor Valor,Grupo 18,ARROZ IN - NATURA,EMBALAGEM 5 KG
1,Menor Valor,Grupo 19,ARROZ,EMBALAGEM DE 500 G
1,Menor Valor,Grupo 16,ARROZ IN - NATURA,EMB DE 5KG
1,Menor Valor,Grupo 13,ARROZ,EMB 500G
1,Menor Valor,NULL,ARROZ,EMB C/ 5KG
1,Menor Valor,Grupo 1,ARROZ IN - NATURA,"PACOTE 1,00 KG"
1,Menor Valor,Grupo 1,ARROZ IN - NATURA,PACOTE 5 KG
1,Menor Valor,Grupo 1,ARROZ,UNID.
1,Menor Valor,Grupo 1,ARROZ,"PACOTE 00000001,00 K"
1,Não Informado,Não se Aplica,CASCA ARROZ,SACO 50KG
1,Não Informado,Não se Aplica,CASCA ARROZ,2KG
1,Não Informado,Não se Aplica,CASCA ARROZ,M3.
1,Não Informado,Não se Aplica,CASCA ARROZ,PC
1,Não Informado,Não se Aplica,CASCA ARROZ,SACA 50KG
1,Não Informado,Não tem Grupo,ARROZ,"5,00 KG"
1,Não Informado,Não tem Grupo,ARROZ,KILOS
1,Não Informado,Não tem Grupo,ARROZ,PACOTES
1,Não Informado,Não tem Grupo,ARROZ,"SACO 50,00 KG"
1,Menor Valor,Grupo 3,ARROZ,EMB.C/5KG
1,Menor Valor,Grupo 15,CREME ARROZ,"CAIXA 200,00 G"
1,Menor Valor,Grupo 15,FARINHA ARROZ,"LATA 400,00 G"
